Patch;Square;Plant;PlantFinnish;Monocot;Dicot;Coverage;Herbivory %;Virotic
9646;2;lichens;jäkälät;0;0;0;0;0
1030;1;Melanpyrum nemorosum;lehtomaitikka;0;1;0,5;0;0
1030;1;Centaurea jacea;ahdekaunokki;0;1;6;90;0
1030;1;Rhinanthus angustifolius;isolaukku;0;1;20;10;10
1030;1;Rumex acetosa;niittysuolaheinä;0;1;1;100;0
1030;1;Plantago lanceolata;heinäratamo;0;1;3;20;0
1030;1;Achillea millefolium;siankärsämö;0;1;3;1;0
1030;1;Galium verum;keltamatara;0;1;1;1;0
1030;1;Viola riviniana;metsäorvokki;0;1;3;100;0
1030;1;Hypericum perforatum;mäkikuisma;0;1;3;100;0
1030;1;Anemone nemorosa;valkovuokko;0;1;1;0;0
1030;1;Fragaria vesca;ahomansikka;0;1;1;100;0
1030;1;Acer platanoides;metsävaahtera;0;1;0,5;0;0
1030;1;Fraxinus excelsior;saarni;0;1;1;50;0
1030;1;Veronica spicata;tähkätädyke;0;1;1;0;0
1030;1;Hylotelephium telephium;isomaksaruoho;0;1;1;50;0
1030;1;Ranunculus repens;rönsyleinikki;0;1;1;0;0
1030;1;Festuca ovina;lampaannata;1;0;1;0;0
1030;1;Festuca pratensis;nurminata;1;0;1,5;0;0
1030;1;bryophytes;sammalet;0;0;0;0;0
1030;1;lichens;jäkälät;0;0;0;0;0
1030;2;Fraxinus excelsior;saarni;0;1;1;0;100
1030;2;Hippophae rhamnoides;tyrni;0;1;1;100;0
1030;2;Achillea millefolium;siankärsämö;0;1;4;0;0
1030;2;Plantago lanceolata;heinäratamo;0;1;2;100;0
1030;2;Taraxacum sp;voikukka sp;0;1;1;100;100
1030;2;Allium schoenoprasum;ruoholaukka;1;0;1;0;0
1030;2;Sedum album;valkomaksaruoho;0;1;1;0;0
1030;2;Veronica spicata;tähkätädyke;0;1;1;100;0
1030;2;Hypericum perforatum;mäkikuisma;0;1;1;100;0
1030;2;Galium verum;keltamatara;0;1;1,5;20;0
